post_created_time,post_title,post_type,post_shares,post_like,post_love,post_wow,post_haha,post_sad,post_angry,post_thankful
2021-01-05T06:00:00+0000,[런 온] Jtalk 인터뷰_신세경 편😍 신세경이 뽑은 〈런 온〉 '겸미 커플'의 최고의 장면은?!,video_inline,0,45,11,1,0,0,0,0
2021-01-05T05:00:01+0000,[런 온] 겸미단화CAM💕 막내 찜쪄먹기에 진심인 제주도 셀프캠 Ep.2 임시완X신세경X최수영X강태오🧡,video_inline,0,41,4,1,0,0,0,0
2021-01-05T04:00:00+0000,"[허쉬] 스페셜✨ 예의 좀 잡수셔~ 임윤아 후배, 그런 눈깔👀로 쳐다보지 마요 | JTBC 201226 방송 외",video_inline,0,53,4,0,0,0,1,0
2021-01-05T03:00:00+0000,[싱어게인] (입이 쩌-억😱) 소름 돋는 고음 폭발↗ 29호 가수의 〈제발〉♬｜JTBC 210104 방송,video_inline,0,950,20,2,0,0,0,0
2021-01-05T02:00:00+0000,[싱어게인] 하나의 멋진 공연 같은 '너도 나도 너드'의 〈우리의 밤은 당신의 낮보다 아름답다〉♬｜JTBC 210104 방송,video_inline,0,589,36,0,0,0,0,0
2021-01-04T10:00:00+0000,[팬텀싱어 올스타전] 티저🔥 시즌1 - 〈팬텀싱어 올스타전〉에서 부르고 싶은 노래는? 2021년 1월 첫 방송!,video_inline,0,29,0,0,0,0,0,0
2021-01-04T09:00:01+0000,[싱어게인] 7회 예고,video_inline,0,79,2,0,0,0,0,0
2021-01-04T08:00:00+0000,[런 온] 메이킹🏃 신세경에게 한달음에 달려간 임시완🧡 겸미 커플 5회 비하인드!,video_inline,0,50,3,1,0,0,0,0
2021-01-04T07:00:00+0000,현재 이 콘텐츠를 이용할 수 없습니다,native_templates,0,31,0,0,0,0,0,0
2021-01-04T06:00:01+0000,[허쉬] 메이킹✒ 추우면 회사 안가🛌 직장인 연말연시ver.| <허쉬> 밸런스 게임🎮,video_inline,0,40,4,0,0,0,0,0
2021-01-04T05:00:00+0000,[1호가 될 순 없어] (울컥) 심형래가 부르는 가슴 뭉클한 〈하얀 나비〉♬｜JTBC 210103 방송,video_inline,0,46,0,0,0,0,0,0
2021-01-04T04:00:01+0000,[뭉쳐야 찬다] (나이스😆) 사각지대마저 뚫어 버린 이대훈 ☆역전 골★｜JTBC 210103 방송,video_inline,0,112,3,1,0,0,0,0
2021-01-04T03:00:00+0000,[아는 형님] 두 레전드의 만남🕺🏻 비x박진영의 〈나로 바꾸자〉🎵｜JTBC 210102 방송,video_inline,0,961,34,5,1,0,0,0
2021-01-04T02:00:00+0000,[갬성캠핑] (역시 금손👍) 송민호의 개성 가득한 캐리커처 선물🎁｜JTBC 210101 방송,video_inline,0,256,19,0,12,0,0,0
2021-01-03T08:00:00+0000,[1호가 될 순 없어] 32회 예고,video_inline,0,11,0,0,2,0,0,0
2021-01-03T06:00:01+0000,[뭉쳐야 찬다] 78회 예고,video_inline,0,6,3,0,0,0,0,0
2021-01-03T04:00:00+0000,[새벽시] 일 핑계로 나에게 소홀해진 남친과 다툰 후 #현명한_화해 #멜로가체질 #새벽시 #JTBC봐야지,video_inline,0,10,0,0,0,0,0,0
2021-01-03T02:00:02+0000,"[새벽시] ""매번 아름다울 순 없어"" 우울한 천우희 위로하는 안재홍 (feat. 미역국라면) #멜로가체질 #새벽시 #JTBC봐야지",video_inline,0,1,0,0,0,0,0,0
2021-01-02T06:00:00+0000,[아는 형님] 262회 예고,video_inline,0,34,3,0,0,0,0,0
2021-01-02T04:00:00+0000,현재 이 콘텐츠를 이용할 수 없습니다,native_templates,0,156,6,0,1,0,0,0
2021-01-02T02:00:00+0000,"[골라봐야지] 아는형님 외국어영역✍️ ""영어로 질문만 가능해요 저희는. 뭐래?"" 호동이가 제일 신난 수업 시간ㅋㅋㅋㅋ",video_inline,0,446,14,0,2,1,1,0
2021-01-01T07:00:00+0000,[갬성캠핑] 11회 예고,video_inline,0,97,2,0,0,0,0,0
2021-01-01T06:00:00+0000,"[제35회 골든디스크] 후보자 종합🏆 디지털 음원 부문, 음반 부문, 신인상",video_inline,0,27,3,2,0,0,0,0
2021-01-01T05:00:01+0000,[우주힙쟁이│10회 예고] 힙합 레전드들의 〈한량〉 뮤직비디오 리액션 大공개🤟🏻,video_inline,0,29,1,0,0,0,0,0
2021-01-01T04:00:01+0000,[런 온] 몰아보기 스페셜🎉 단 10분만 투자하면 🦊겸미커플🐰의 〈런 온〉 1-4회 완벽 정복 가능,video_inline,0,88,9,0,0,0,0,0
2021-01-01T03:00:01+0000,[런 온] 겸미ON🔴코멘터리👀 선겸이와 미주가 직접 이야기하는 겸미 관계의 터닝 포인트 장면! 임시완X신세경의 3-4회 코멘터리!,video_inline,0,29,0,0,0,0,0,0
2021-01-01T02:00:00+0000,[런 온] 겸미ON🔴코멘터리👀 선겸이와 미주가 직접 이야기하는 겸미 관계의 터닝 포인트 장면! 임시완X신세경의 3-4회 코멘터리!,video_inline,0,47,2,1,0,0,0,0
2021-01-01T00:00:28+0000,2021년 1월 1일 '신년'…JTBC와 함께,video_inline,0,13,1,0,0,0,0,0
2020-12-31T09:00:00+0000,"[6회 예고] 우리 집 가고 싶어서 왔구나? 갑시다, 우리 집",video_inline,0,71,5,1,0,0,0,0
2020-12-31T07:00:00+0000,[아는 형님-형.친.소] ★춤의 제왕들★ 박진영 x 비가 형님 학교에 전학 왔습니다!,video_inline,0,208,9,0,1,0,1,0
2020-12-31T06:00:00+0000,"[선배, 그 립스틱 바르지 마요] 메이킹🎉 캐릭터 포스터 촬영 현장 💜효주💜 #06호 숨겨도 트윙클 어쩌나",video_inline,0,38,3,1,0,0,0,0
2020-12-31T05:00:01+0000,"[선배, 그 립스틱 바르지 마요] 메이킹🎉 캐릭터 포스터 촬영 현장 💜재신💜 #05호 섹시큐티 알았엉",video_inline,0,22,2,1,0,0,0,0
2020-12-31T04:00:01+0000,[팬텀싱어 올스타전] 🎧 라포엠x흉스프레소x미라클라스의 '말하는 대로'♬ | 2021년 1월 첫 방송,video_inline,0,29,3,0,0,0,0,0
